Business Name (DBA),Address1,Address2,City,State,Zip,Community Board,NAICS Code,Number of Worker-Owners,Number of Non-Member Worker-Owners,Subtype,Borough,Latitude,Longitude,City Council,Census Tract,BIN,BBL,NTA
A Bookkeeping Cooperative,495 Flatbush Avenue,Suite 2,Brooklyn,NY,11225,9 BROOKLYN,Other Accounting Services,,,Market Research,BROOKLYN,40.662184,-73.961754,40,327,3029735,3011970006,Prospect Lefferts Gardens-Wingate
A.C.T.O. for Safety LLC,PO Box 8206,,Jackson Heights,NY,11372,3 QUEENS,Educational Support Services,9,,Coaching,,,,,,,,
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Bookkeeping,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Coaching,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Governance Consultation,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Internal Manuals,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Market Research,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Organizational Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Strategic Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Support and Troubleshooting,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
ActionOSH,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Educational Support Services,3,1,Web Development and Support,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
All Hands and The Cook,1590 Park Avenue,,New York,NY,10029,11 MANHATTAN,Temporary Help Services,10,,Financial Planning,MANHATTAN,40.798495,-73.943819,8,182,1088600,1200149999,East Harlem North
All Hands and The Cook,1590 Park Avenue,,New York,NY,10029,11 MANHATTAN,Temporary Help Services,10,,Governance Consultation,MANHATTAN,40.798495,-73.943819,8,182,1088600,1200149999,East Harlem North
